type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
discharge,[2.008e+03 4.000e+00 5.000e+00 6.000e+00 2.500e+01 1.890e+00],24,B0005,30,31,00031.csv,1.8025980036306504,,
charge,[2008.       4.       5.       7.      33.      12.734],24,B0005,31,32,00032.csv,,,
discharge,[2008.       4.       5.      10.      30.      32.312],24,B0005,32,33,00033.csv,1.80210690024615,,
charge,[2008.      4.      5.     11.     38.     22.14],24,B0005,33,34,00034.csv,,,
discharge,[2008.       4.       5.      14.      34.      41.468],24,B0005,34,35,00035.csv,1.802579500826209,,
charge,[2008.       4.       5.      15.      42.      11.531],24,B0005,35,36,00036.csv,,,
discharge,[2008.       4.       5.      18.      39.      25.218],24,B0005,36,37,00037.csv,1.8030683142834096,,
charge,[2008.       4.       5.      19.      46.      36.125],24,B0005,37,38,00038.csv,,,
discharge,[2008.       4.       5.      22.      46.      35.484],24,B0005,38,39,00039.csv,1.8027776247196041,,
charge,[2008.      4.     18.     17.     34.     22.89],24,B0005,39,40,00040.csv,,,
impedance,[2008.       4.      18.      20.      55.      29.859],24,B0005,40,41,00041.csv,,0.04466870036616091,0.06945627304536996
discharge,[2008.       4.      18.      21.      10.      19.796],24,B0005,41,42,00042.csv,1.8470259949329193,,
impedance,[2008.       4.      18.      22.      39.      16.312],24,B0005,42,43,00043.csv,,0.04668700162486933,0.07627474098530587
charge,[2008.       4.      18.      22.      53.      58.343],24,B0005,43,44,00044.csv,,,
impedance,[2.0080e+03 4.0000e+00 1.9000e+01 2.0000e+00 1.4000e+01 2.7015e+01],24,B0005,44,45,00045.csv,,0.044843430573346096,0.0679720560130687
discharge,[2008    4   19    2   29    9],24,B0005,45,46,00046.csv,1.847417311283644,,
impedance,[2008.       4.      19.       3.      57.      24.187],24,B0005,46,47,00047.csv,,0.04619468955099375,0.07453388918437964
charge,[2008.       4.      19.       4.      12.       6.343],24,B0005,47,48,00048.csv,,,
impedance,[2008.       4.      19.       7.      32.      33.656],24,B0005,48,49,00049.csv,,0.04510114851143001,0.06852832896000328
discharge,[2008.       4.      19.       7.      47.      15.703],24,B0005,49,50,00050.csv,1.8361774213478947,,
impedance,[2008.       4.      19.       9.      15.      10.453],24,B0005,50,51,00051.csv,,0.04599074473076839,0.07342664108773311
charge,[2008.       4.      19.       9.      29.      52.703],24,B0005,51,52,00052.csv,,,
impedance,[2.008e+03 4.000e+00 1.900e+01 1.200e+01 4.700e+01 4.210e-01],24,B0005,52,53,00053.csv,,0.044172075577171746,0.06804449516996176
discharge,[2.0080e+03 4.0000e+00 1.9000e+01 1.3000e+01 1.0000e+00 4.2562e+01],24,B0005,53,54,00054.csv,1.8257807475776242,,
impedance,[2008.       4.      19.      14.      28.      58.984],24,B0005,54,55,00055.csv,,0.0452171085992494,0.07464778408413367
charge,[2008.       4.      19.      14.      43.      41.265],24,B0005,55,56,00056.csv,,,
impedance,[2008.       4.      19.      18.      12.      47.531],24,B0005,56,57,00057.csv,,0.043786628196075913,0.06845021227072765
discharge,[2008.       4.      19.      18.      27.      29.828],24,B0005,57,58,00058.csv,1.8251136435078368,,
impedance,[2008.       4.      19.      19.      55.       5.296],24,B0005,58,59,00059.csv,,0.04490994541365791,0.07395687603254197
charge,[2008.      4.     19.     20.      9.     47.75],24,B0005,59,60,00060.csv,,,
impedance,[2008.       4.      19.      23.      27.      13.343],24,B0005,60,61,00061.csv,,0.04463932198878524,0.0683410113732366
discharge,[2008.       4.      19.      23.      41.      55.687],24,B0005,61,62,00062.csv,1.8255815042203762,,
impedance,[2.0080e+03 4.0000e+00 2.0000e+01 1.0000e+00 8.0000e+00 1.1406e+01],24,B0005,62,63,00063.csv,,0.04717044086931744,0.07208112164479205
charge,[2.0080e+03 4.0000e+00 2.0000e+01 1.0000e+00 2.2000e+01 5.3953e+01],24,B0005,63,64,00064.csv,,,
impedance,[2008.       4.      20.       4.      39.      59.296],24,B0005,64,65,00065.csv,,0.043558785775475374,0.06868237655872211
discharge,[2008.       4.      20.       4.      54.      41.734],24,B0005,65,66,00066.csv,1.8140311275083907,,
impedance,[2008.       4.      20.       6.      20.      57.125],24,B0005,66,67,00067.csv,,0.04648969708635643,0.07102909339339247
charge,[2008.       4.      20.       6.      35.      39.765],24,B0005,67,68,00068.csv,,,
impedance,[2.0080e+03 4.0000e+00 2.0000e+01 1.0000e+01 1.0000e+00 4.6156e+01],24,B0005,68,69,00069.csv,,0.04526547818261783,0.0681437253042456
discharge,[2008.       4.      20.      10.      16.      28.859],24,B0005,69,70,00070.csv,1.8147691941158939,,
impedance,[2008.       4.      20.      11.      42.      26.062],24,B0005,70,71,00071.csv,,0.0463622366817154,0.07193029860543036
charge,[2008.       4.      20.      11.      57.       8.765],24,B0005,71,72,00072.csv,,,
impedance,[2008.      4.     20.     15.     22.     22.64],24,B0005,72,73,00073.csv,,0.044483715777434665,0.06782555719716843
discharge,[2008.       4.      20.      15.      37.       5.281],24,B0005,73,74,00074.csv,1.813969388710352,,
impedance,[2.008e+03 4.000e+00 2.000e+01 1.700e+01 3.000e+00 1.140e+00],24,B0005,74,75,00075.csv,,0.04482791300205649,0.07288826952758304
charge,[2008.       4.      20.      17.      17.      44.031],24,B0005,75,76,00076.csv,,,
impedance,[2008.       4.      20.      20.      35.      56.187],24,B0005,76,77,00077.csv,,0.04441416485910045,0.06885805241213436
discharge,[2008.       4.      20.      20.      50.      38.921],24,B0005,77,78,00078.csv,1.802765665167823,,
impedance,[2008.       4.      20.      22.      16.      35.078],24,B0005,78,79,00079.csv,,0.04466450679894579,0.0727868237536811
charge,[2008.       4.      20.      22.      31.      18.046],24,B0005,79,80,00080.csv,,,
impedance,[2.0080e+03 4.0000e+00 2.1000e+01 2.0000e+00 0.0000e+00 1.9968e+01],24,B0005,80,81,00081.csv,,0.04453544590029642,0.06779434699116274
discharge,[2.008e+03 4.000e+00 2.100e+01 2.000e+00 1.500e+01 2.921e+00],24,B0005,81,82,00082.csv,1.804077040117352,,
impedance,[2008.       4.      21.       3.      26.      58.453],24,B0005,82,83,00083.csv,,0.04502135245555801,0.06940408185539676
charge,[2008.       4.      21.      17.      51.      26.312],24,B0005,83,84,00084.csv,,,
charge,[2008.       4.      22.      14.      15.      41.187],24,B0005,84,85,00085.csv,,,
discharge,[2008.       4.      22.      15.      33.      49.875],24,B0005,85,86,00086.csv,1.8518025516704486,,
impedance,[2008.       4.      22.      16.      33.       3.953],24,B0005,86,87,00087.csv,,0.04610646564263781,0.07041083307756363
charge,[2008.       4.      22.      17.       4.      53.218],24,B0005,87,88,00088.csv,,,
impedance,[2008.       4.      22.      19.      54.      32.265],24,B0005,88,89,00089.csv,,0.04646251600050638,0.06993774302336724
discharge,[2008.       4.      22.      20.      26.      18.921],24,B0005,89,90,00090.csv,1.8307038456739428,,
impedance,[2008.       4.      22.      21.      24.      34.484],24,B0005,90,91,00091.csv,,0.04766732499763113,0.06870142026856427
charge,[2008.       4.      22.      21.      56.      21.406],24,B0005,91,92,00092.csv,,,
impedance,[2008.       4.      23.       0.      46.      24.921],24,B0005,92,93,00093.csv,,0.04772385451119983,0.06950417544214327
discharge,[2.0080e+03 4.0000e+00 2.3000e+01 1.0000e+00 1.8000e+01 1.1796e+01],24,B0005,93,94,00094.csv,1.8199041089501267,,
impedance,[2.008e+03 4.000e+00 2.300e+01 2.000e+00 1.600e+01 8.578e+00],24,B0005,94,95,00095.csv,,0.04786769518725868,0.06782851501053842
charge,[2.0080e+03 4.0000e+00 2.3000e+01 2.0000e+00 4.7000e+01 5.5453e+01],24,B0005,95,96,00096.csv,,,
impedance,[2008.      4.     23.      5.     46.     32.89],24,B0005,96,97,00097.csv,,0.04694022963323793,0.069661211991841
discharge,[2008.       4.      23.       6.      18.      19.921],24,B0005,97,98,00098.csv,1.8093079637028517,,
impedance,[2008.       4.      23.       7.      16.       7.671],24,B0005,98,99,00099.csv,,0.045613419083722975,0.0690386303340568
charge,[2008.       4.      23.       7.      47.      54.718],24,B0005,99,100,00100.csv,,,
impedance,[2008.       4.      23.      10.      36.      13.156],24,B0005,100,101,00101.csv,,0.04702798243208013,0.07112946749607083
discharge,[2.008e+03 4.000e+00 2.300e+01 1.100e+01 8.000e+00 3.120e-01],24,B0005,101,102,00102.csv,1.80460990458052,,
impedance,[2008.       4.      23.      12.       5.      30.437],24,B0005,102,103,00103.csv,,0.04672887233883059,0.06971129972921941
charge,[2008.       4.      23.      12.      37.      17.515],24,B0005,103,104,00104.csv,,,
impedance,[2008.       4.      23.      15.      34.      37.843],24,B0005,104,105,00105.csv,,0.047755380262671634,0.07167079612312527
discharge,[2008.       4.      23.      16.       6.      25.171],24,B0005,105,106,00106.csv,1.7993770651972192,,
impedance,[2008.       4.      23.      17.       3.      55.484],24,B0005,106,107,00107.csv,,0.04691622519628201,0.06913343554751465
charge,[2008.       4.      23.      17.      35.      42.828],24,B0005,107,108,00108.csv,,,
impedance,[2008.      4.     23.     20.     31.     10.75],24,B0005,108,109,00109.csv,,0.047022939446838434,0.06976696183555635
discharge,[2.0080e+03 4.0000e+00 2.3000e+01 2.1000e+01 2.0000e+00 5.8296e+01],24,B0005,109,110,00110.csv,1.7884432335370462,,
impedance,[2008.       4.      23.      22.       0.      19.218],24,B0005,110,111,00111.csv,,0.046604793185003,0.06852215228822905
charge,[2008.       4.      23.      22.      32.       6.671],24,B0005,111,112,00112.csv,,,
impedance,[2.0080e+03 4.0000e+00 2.4000e+01 1.0000e+00 1.9000e+01 4.6171e+01],24,B0005,112,113,00113.csv,,0.046245370477528074,0.0719248993978976
discharge,[2.008e+03 4.000e+00 2.400e+01 1.000e+00 5.100e+01 3.389e+01],24,B0005,113,114,00114.csv,1.7829230484252723,,
impedance,[2.0080e+03 4.0000e+00 2.4000e+01 2.0000e+00 4.8000e+01 3.5687e+01],24,B0005,114,115,00115.csv,,0.04683293993011124,0.06946896899621643
charge,[2008.       4.      24.       3.      20.      23.359],24,B0005,115,116,00116.csv,,,
impedance,[2008.       4.      24.       6.      18.      12.171],24,B0005,116,117,00117.csv,,0.04618610336751238,0.07193787056034481
discharge,[2.008e+03 4.000e+00 2.400e+01 6.000e+00 5.000e+01 3.100e-02],24,B0005,117,118,00118.csv,1.7730337158018288,,
impedance,[2008.       4.      24.       7.      46.      53.906],24,B0005,118,119,00119.csv,,0.04624136663986422,0.06934916902797013
charge,[2008.       4.      24.       8.      18.      41.703],24,B0005,119,120,00120.csv,,,
impedance,[2008.       4.      24.      11.      17.      36.359],24,B0005,120,121,00121.csv,,0.04773737014313117,0.0703395836124857
discharge,[2008.       4.      24.      11.      49.      24.281],24,B0005,121,122,00122.csv,1.773037755078937,,
impedance,[2008.       4.      24.      12.      46.       8.171],24,B0005,122,123,00123.csv,,0.049427483436388156,0.0695498357572787
charge,[2008.      4.     24.     13.     17.     56.25],24,B0005,123,124,00124.csv,,,
impedance,[2008.       4.      24.      16.      14.       7.906],24,B0005,124,125,00125.csv,,0.04838334154876506,0.06973812701544792
discharge,[2008.       4.      24.      16.      45.      56.015],24,B0005,125,126,00126.csv,1.7678721106662054,,
impedance,[2008.       4.      24.      17.      42.      40.796],24,B0005,126,127,00127.csv,,0.04747841688797767,0.06488297170955903
charge,[2008.       4.      24.      18.      14.      28.937],24,B0005,127,128,00128.csv,,,
impedance,[2008.       4.      24.      21.       6.      22.828],24,B0005,128,129,00129.csv,,0.048037510039299486,0.07012511424776673
discharge,[2008.       4.      24.      21.      38.      11.078],24,B0005,129,130,00130.csv,1.7623150704093087,,
impedance,[2008.       4.      24.      22.      34.      45.921],24,B0005,130,131,00131.csv,,0.047703621105183044,0.06859813037774799
charge,[2008.       4.      24.      23.       6.      34.156],24,B0005,131,132,00132.csv,,,
impedance,[2.008e+03 4.000e+00 2.500e+01 1.000e+00 5.700e+01 7.593e+00],24,B0005,132,133,00133.csv,,0.048086960073381944,0.0697134641311117
discharge,[2008.       4.      25.      12.       3.      44.093],24,B0005,133,134,00134.csv,1.7676172924938447,,
charge,[2.0080e+03 4.0000e+00 2.5000e+01 1.7000e+01 2.0000e+00 3.5703e+01],24,B0005,134,135,00135.csv,,,
discharge,[2008.       4.      25.      20.       3.      55.921],24,B0005,135,136,00136.csv,1.762668359743147,,
impedance,[2008.       4.      25.      21.       0.      31.421],24,B0005,136,137,00137.csv,,0.04815104655957722,0.06772207819825936
charge,[2008.       4.      25.      21.      32.      20.468],24,B0005,137,138,00138.csv,,,
impedance,[2008.       4.      26.       0.      32.      46.968],24,B0005,138,139,00139.csv,,0.04754728174038817,0.07318009891168203
discharge,[2.0080e+03 4.0000e+00 2.6000e+01 1.0000e+00 4.0000e+00 3.5718e+01],24,B0005,139,140,00140.csv,1.7517304870664143,,
impedance,[2.0080e+03 4.0000e+00 2.6000e+01 2.0000e+00 0.0000e+00 5.2359e+01],24,B0005,140,141,00141.csv,,0.04759013382319219,0.06914272874669278
charge,[2.0080e+03 4.0000e+00 2.6000e+01 2.0000e+00 3.2000e+01 4.1093e+01],24,B0005,141,142,00142.csv,,,
impedance,[2008.       4.      26.       5.      25.      46.234],24,B0005,142,143,00143.csv,,0.04764092098948851,0.07165247326552959
discharge,[2008.      4.     26.      5.     57.     35.14],24,B0005,143,144,00144.csv,1.7418496047960008,,
impedance,[2008.       4.      26.       6.      53.      34.171],24,B0005,144,145,00145.csv,,0.04764024061757782,0.06898277923910441
charge,[2008.       4.      26.       7.      25.      23.031],24,B0005,145,146,00146.csv,,,
impedance,[2008.       4.      26.      10.      26.      36.718],24,B0005,146,147,00147.csv,,0.04842436953177311,0.07249983749010006
discharge,[2008.       4.      26.      10.      58.      25.843],24,B0005,147,148,00148.csv,1.7360913511847138,,
charge,[2008.       4.      28.      17.      20.      47.859],24,B0005,148,149,00149.csv,,,
discharge,[2008.       4.      29.      12.      15.      56.953],24,B0005,149,150,00150.csv,1.7936240148573608,,
impedance,[2008.       4.      29.      13.      12.      54.375],24,B0005,150,151,00151.csv,,0.04893386185534073,0.06795990180113623
charge,[2008.       4.      29.      13.      44.      46.546],24,B0005,151,152,00152.csv,,,
impedance,[2008.       4.      29.      16.      33.      38.281],24,B0005,152,153,00153.csv,,0.04943074564871873,0.0701407541984291
discharge,[2008.       4.      29.      17.       5.      27.781],24,B0005,153,154,00154.csv,1.7831890223273275,,
impedance,[2.0080e+03 4.0000e+00 2.9000e+01 1.8000e+01 2.0000e+00 2.1296e+01],24,B0005,154,155,00155.csv,,0.049323007176718225,0.06895642914528509
charge,[2008.       4.      29.      18.      34.      10.656],24,B0005,155,156,00156.csv,,,
impedance,[2008.      4.     29.     21.     28.     15.14],24,B0005,156,157,00157.csv,,0.04974822543014387,0.07112993844977841
discharge,[2008.      4.     29.     22.      0.      4.75],24,B0005,157,158,00158.csv,1.7673642076278957,,
impedance,[2008.       4.      29.      22.      56.      30.656],24,B0005,158,159,00159.csv,,0.04912202877042455,0.06890956847456893
charge,[2008.       4.      29.      23.      28.      20.218],24,B0005,159,160,00160.csv,,,
impedance,[2.008e+03 4.000e+00 3.000e+01 2.000e+00 1.200e+01 5.609e+00],24,B0005,160,161,00161.csv,,0.04988486594475391,0.07198302765125617
discharge,[2.0080e+03 4.0000e+00 3.0000e+01 2.0000e+00 4.3000e+01 5.5312e+01],24,B0005,161,162,00162.csv,1.7570177850353066,,
impedance,[2008.      4.     30.      3.     40.      3.39],24,B0005,162,163,00163.csv,,0.047859449246718755,0.06977255608528674
charge,[2008.       4.      30.       4.      11.      53.078],24,B0005,163,164,00164.csv,,,
impedance,[2008.       4.      30.       7.       9.      52.656],24,B0005,164,165,00165.csv,,0.04921638093217895,0.07146374397937286
discharge,[2008.       4.      30.       7.      41.      42.578],24,B0005,165,166,00166.csv,1.7468706179837907,,
impedance,[2008.       4.      30.       8.      37.      42.406],24,B0005,166,167,00167.csv,,0.04887229013423192,0.06876809153866811
charge,[2008.       4.      30.       9.       9.      32.281],24,B0005,167,168,00168.csv,,,
impedance,[2008.       4.      30.      11.      56.      59.203],24,B0005,168,169,00169.csv,,0.04994593893656341,0.07088704261645878
discharge,[2008.       4.      30.      12.      28.      49.265],24,B0005,169,170,00170.csv,1.7417172507457144,,
impedance,[2008.       4.      30.      13.      24.      39.734],24,B0005,170,171,00171.csv,,0.048296439195350184,0.0673151471016695
charge,[2008.       4.      30.      13.      56.      29.843],24,B0005,171,172,00172.csv,,,
impedance,[2008.       4.      30.      16.      48.      25.875],24,B0005,172,173,00173.csv,,0.048969605147940264,0.07178168505217358
discharge,[2008.      4.     30.     17.     20.     16.14],24,B0005,173,174,00174.csv,1.7364225056478186,,
impedance,[2008.      4.     30.     18.     16.      7.25],24,B0005,174,175,00175.csv,,0.04814709226602492,0.0684158918231915
charge,[2008.      4.     30.     18.     47.     57.39],24,B0005,175,176,00176.csv,,,
impedance,[2008.       4.      30.      21.      43.       3.656],24,B0005,176,177,00177.csv,,0.05022937602514056,0.0718319241428618
discharge,[2008.       4.      30.      22.      14.      54.062],24,B0005,177,178,00178.csv,1.7263217239235826,,
impedance,[2008.       4.      30.      23.      10.      36.859],24,B0005,178,179,00179.csv,,0.04845430020206581,0.06777935051052719
charge,[2008.      4.     30.     23.     42.     27.25],24,B0005,179,180,00180.csv,,,
impedance,[2.0080e+03 5.0000e+00 1.0000e+00 2.0000e+00 4.3000e+01 4.2562e+01],24,B0005,180,181,00181.csv,,0.04971526662508074,0.07139027154395669
discharge,[2.008e+03 5.000e+00 1.000e+00 3.000e+00 1.500e+01 3.314e+01],24,B0005,181,182,00182.csv,1.7158065389330133,,
impedance,[2.008e+03 5.000e+00 1.000e+00 4.000e+00 1.100e+01 7.078e+00],24,B0005,182,183,00183.csv,,0.04868025293328389,0.06583444846364324
charge,[2.0080e+03 5.0000e+00 1.0000e+00 4.0000e+00 4.2000e+01 5.7703e+01],24,B0005,183,184,00184.csv,,,
impedance,[2.0080e+03 5.0000e+00 1.0000e+00 7.0000e+00 4.4000e+01 1.2656e+01],24,B0005,184,185,00185.csv,,0.04913216601843565,0.0724518691988788
discharge,[2.008e+03 5.000e+00 1.000e+00 8.000e+00 1.600e+01 3.343e+00],24,B0005,185,186,00186.csv,1.710533351135192,,
impedance,[2.0080e+03 5.0000e+00 1.0000e+00 9.0000e+00 1.1000e+01 2.7593e+01],24,B0005,186,187,00187.csv,,0.049918728983506716,0.06876463309502395
charge,[2.0080e+03 5.0000e+00 1.0000e+00 9.0000e+00 4.3000e+01 1.8359e+01],24,B0005,187,188,00188.csv,,,
impedance,[2.0080e+03 5.0000e+00 1.0000e+00 1.2000e+01 4.2000e+01 3.4015e+01],24,B0005,188,189,00189.csv,,0.04920968322529824,0.07304025099509703
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 1.3000e+01 1.4000e+01 2.4875e+01],24,B0005,189,190,00190.csv,1.706014499648521,,
impedance,[2.008e+03 5.000e+00 1.000e+00 1.400e+01 9.000e+00 5.064e+01],24,B0005,190,191,00191.csv,,0.04943664953959982,0.06892300885560772
charge,[2.0080e+03 5.0000e+00 1.0000e+00 1.4000e+01 4.1000e+01 4.1578e+01],24,B0005,191,192,00192.csv,,,
impedance,[2.0080e+03 5.0000e+00 1.0000e+00 1.7000e+01 3.9000e+01 2.0015e+01],24,B0005,192,193,00193.csv,,0.04950631616559385,0.07251082944035009
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 1.8000e+01 1.1000e+01 1.0984e+01],24,B0005,193,194,00194.csv,1.7003110272642588,,
impedance,[2.0080e+03 5.0000e+00 1.0000e+00 1.9000e+01 6.0000e+00 2.6859e+01],24,B0005,194,195,00195.csv,,0.04940333988784369,0.06864846238725138
charge,[2.0080e+03 5.0000e+00 1.0000e+00 1.9000e+01 3.8000e+01 1.7968e+01],24,B0005,195,196,00196.csv,,,
impedance,[2.0080e+03 5.0000e+00 1.0000e+00 2.2000e+01 3.8000e+01 2.4062e+01],24,B0005,196,197,00197.csv,,0.04865176277959679,0.07201762091170956
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 2.3000e+01 1.0000e+01 1.5265e+01],24,B0005,197,198,00198.csv,1.6945798601797895,,
impedance,[2.0080e+03 5.0000e+00 2.0000e+00 0.0000e+00 5.0000e+00 3.1015e+01],24,B0005,198,199,00199.csv,,0.04915501980244644,0.06913086863703587
charge,[2.0080e+03 5.0000e+00 2.0000e+00 0.0000e+00 3.7000e+01 2.2234e+01],24,B0005,199,200,00200.csv,,,
impedance,[2.0080e+03 5.0000e+00 2.0000e+00 3.0000e+00 2.1000e+01 4.3218e+01],24,B0005,200,201,00201.csv,,0.04916575568371288,0.07316993618002728
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 3.0000e+00 5.3000e+01 3.4765e+01],24,B0005,201,202,00202.csv,1.6849029086609286,,
impedance,[2.0080e+03 5.0000e+00 2.0000e+00 4.0000e+00 4.8000e+01 3.3343e+01],24,B0005,202,203,00203.csv,,0.04870161283727027,0.06859455507457586
charge,[2.0080e+03 5.0000e+00 2.0000e+00 5.0000e+00 2.0000e+01 2.4687e+01],24,B0005,203,204,00204.csv,,,
impedance,[2.0080e+03 5.0000e+00 2.0000e+00 8.0000e+00 1.2000e+01 4.9328e+01],24,B0005,204,205,00205.csv,,0.04923427342088277,0.07277120733743579
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 8.0000e+00 4.4000e+01 4.0859e+01],24,B0005,205,206,00206.csv,1.6744741591159717,,
impedance,[2.0080e+03 5.0000e+00 2.0000e+00 9.0000e+00 3.9000e+01 4.0343e+01],24,B0005,206,207,00207.csv,,0.04885677345766941,0.06871570767989431
charge,[2.0080e+03 5.0000e+00 2.0000e+00 1.0000e+01 1.1000e+01 3.1921e+01],24,B0005,207,208,00208.csv,,,
impedance,[2.0080e+03 5.0000e+00 2.0000e+00 1.3000e+01 1.1000e+01 1.3468e+01],24,B0005,208,209,00209.csv,,0.0505475864921389,0.07270866794574943
discharge,[2.008e+03 5.000e+00 2.000e+00 1.300e+01 4.300e+01 5.093e+00],24,B0005,209,210,00210.csv,1.6745692479879102,,
impedance,[2.0080e+03 5.0000e+00 2.0000e+00 1.4000e+01 3.7000e+01 5.5109e+01],24,B0005,210,211,00211.csv,,0.0506497585783765,0.06853536104799454
charge,[2.0080e+03 5.0000e+00 2.0000e+00 1.5000e+01 9.0000e+00 4.6812e+01],24,B0005,211,212,00212.csv,,,
impedance,[2.008e+03 5.000e+00 2.000e+00 1.800e+01 1.100e+01 3.593e+00],24,B0005,212,213,00213.csv,,0.050118814742107526,0.07301041089661342
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 1.9000e+01 7.0000e+00 4.8359e+01],24,B0005,213,214,00214.csv,1.663716375981405,,
charge,[2.0080e+03 5.0000e+00 2.0000e+00 2.0000e+01 2.8000e+01 2.5781e+01],24,B0005,214,215,00215.csv,,,
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 2.3000e+01 2.4000e+01 1.7687e+01],24,B0005,215,216,00216.csv,1.659013868748246,,
impedance,[2008.       5.       3.       0.      18.      59.734],24,B0005,216,217,00217.csv,,0.04913242687695094,0.0693303248319639
charge,[2008.       5.       3.       0.      50.      52.187],24,B0005,217,218,00218.csv,,,
impedance,[2008.       5.       3.       3.      41.      16.453],24,B0005,218,219,00219.csv,,0.049792567319026114,0.07343650361620202
discharge,[2008.       5.       3.       4.      13.       8.609],24,B0005,219,220,00220.csv,1.6538540573335014,,
impedance,[2008.       5.       3.       5.       7.      41.812],24,B0005,220,221,00221.csv,,0.049633135916243465,0.06881429671018138
charge,[2008.       5.       3.       5.      39.      33.921],24,B0005,221,222,00222.csv,,,
impedance,[2008.       5.       3.       8.      38.      27.484],24,B0005,222,223,00223.csv,,0.049865378066600005,0.0732133898164959
discharge,[2008.       5.       3.       9.      10.      19.812],24,B0005,223,224,00224.csv,1.642653782130131,,
impedance,[2008.       5.       3.      10.       4.      43.296],24,B0005,224,225,00225.csv,,0.048921290356402275,0.06883931362761586
charge,[2008.       5.       3.      10.      36.      35.781],24,B0005,225,226,00226.csv,,,
impedance,[2008.       5.       3.      13.      32.      41.671],24,B0005,226,227,00227.csv,,0.049811932785538866,0.07459618605206403
discharge,[2008.       5.       3.      14.       4.      34.187],24,B0005,227,228,00228.csv,1.6378578430223698,,
